indice_tiempo,ing_antes_figurativos_2017
2015-01-01,93759.0
2015-02-01,80117.20000000001
2015-03-01,77884.2
2015-04-01,95583.8
2015-05-01,99115.8
2015-06-01,116459.0
2015-07-01,120238.4
2015-08-01,101145.7
2015-09-01,102639.8
2015-10-01,103895.8
2015-11-01,97674.0
2015-12-01,114882.39999999998
2016-01-01,121620.5
2016-02-01,100677.2
2016-03-01,108831.8
2016-04-01,118147.9
2016-05-01,137024.4
2016-06-01,130049.4
2016-07-01,144273.5
2016-08-01,129107.6
2016-09-01,131766.6
2016-10-01,128073.3
2016-11-01,145784.8
2016-12-01,233951.8
2017-01-01,170255.99999999994
2017-02-01,136488.7
2017-03-01,160940.50000000006
2017-04-01,159556.80000000002
2017-05-01,156936.50000000006
2017-06-01,161649.6
2017-07-01,185137.2
2017-08-01,168485.7
2017-09-01,166702.09999999998
2017-10-01,168754.2
2017-11-01,172670.39999999994
2017-12-01,190504.8
2018-01-01,203130.2
2018-02-01,172965.89999999994
2018-03-01,195942.3
2018-04-01,192963.3
2018-05-01,209414.8
2018-06-01,220583.5
2018-07-01,232618.9
2018-08-01,222933.7
2018-09-01,227677.6
2018-10-01,245779.3
2018-11-01,233789.5
2018-12-01,242760.6
2019-01-01,281653.0
2019-02-01,256589.4
2019-03-01,261283.50000000003
2019-04-01,277427.10000000003
2019-05-01,320348.1
2019-06-01,373618.4
