indice_tiempo,estacionales,ipc_nucleo,ipc_regulados,ipc_ng_nacional_tasa_variacion_mensual
2017-01-01,0.016969000000000012,0.015039000000000025,0.01818299999999984,0.015858999999999845
2017-02-01,0.006269610971425975,0.016813147081047974,0.0403984352518163,0.020672160211210544
2017-03-01,0.023963570447893767,0.019331366479185645,0.03845972306658263,0.02374189740360056
2017-04-01,0.03244588058801301,0.02111387500867368,0.04053608131215025,0.02655830183631092
2017-05-01,0.008012999749507088,0.016568460442905497,0.01040493636040396,0.014347502493881281
2017-06-01,0.009383459143026851,0.013354467529066438,0.008919562253201008,0.011920734713892324
2017-07-01,0.004652202233166093,0.01764780830124701,0.02291847884306386,0.017322662871029015
2017-08-01,0.010723489677996856,0.014320052780054215,0.014854836304412313,0.014032580687119323
2017-09-01,0.03971464076460807,0.016342323887561294,0.01717919443529481,0.01898044667317844
2017-10-01,0.02418125182852316,0.013150119985047004,0.016758389136466878,0.015147326869770827
2017-11-01,0.0171158470294277,0.012848513702502506,0.014897733730946829,0.013750829473627713
2017-12-01,0.003318976981928179,0.016707824180473008,0.09084431273358763,0.03141973982180924
2018-01-01,0.026649223797825302,0.014988487223666525,0.02131468559703187,0.017573536246470182
2018-02-01,-0.0068099384042195074,0.020908267163812333,0.04816803749414955,0.02419034134533237
2018-03-01,0.01627279252714353,0.025764008786389958,0.02025966258815304,0.023410625508417
2018-04-01,0.008707652485216544,0.021300855948922733,0.05258328525389233,0.02739032375846517
2018-05-01,0.025291759837368977,0.026549870558923768,0.0035935804729980703,0.020753748413176558
2018-06-01,0.033573679415303204,0.04073954988687167,0.029423711443283374,0.03736676091935398
2018-07-01,0.037754991311379715,0.031930887595530644,0.025835824746179403,0.031016129934470893
2018-08-01,0.019329840607061003,0.03352280566209531,0.06197403965358594,0.038894388753662135
2018-09-01,0.03971476029072042,0.07641252779935859,0.04703016916172498,0.06534286160071301
2018-10-01,0.06230051488531485,0.045397217123865234,0.07443793689778944,0.05391607151610733
2018-11-01,0.03017489261649332,0.03298648285548711,0.027836652409622083,0.0315336499618426
2018-12-01,0.01439881830515466,0.027435393610045544,0.02574160853247376,0.02569823445714392
2019-01-01,0.010984448640823707,0.030028066433953393,0.034211886304909685,0.029062409093474576
2019-02-01,0.01926803273259336,0.03855498693474302,0.0421946831900859,0.03765622189957196
2019-03-01,0.04766149808977116,0.045794531676518924,0.049042282203326286,0.04679540188289599
2019-04-01,0.016061738788670562,0.037670642645937,0.032864686624975104,0.03444697949233122
2019-05-01,0.0061829489131139965,0.03177530679830687,0.0372099590757633,0.030590696999836187
2019-06-01,0.02466586359203804,0.027315925572350075,0.02786709123418052,0.02718005402399526
2019-07-01,0.036401521839298116,0.021476796602663883,0.018038156186796158,0.02197865538692101
2019-08-01,0.038542581530785824,0.04637860819711426,0.021167443301689737,0.03953985787048686
