indice_tiempo,ipc_2016_nivgeneral
2016-04-01,85.5254
2016-05-01,89.1118
2016-06-01,91.8528
2016-07-01,93.7328
2016-08-01,93.9221
2016-09-01,95.0014
2016-10-01,97.2428
2016-11-01,98.8166
2016-12-01,100.0
2017-01-01,101.31299999999999
2017-02-01,103.8085
2017-03-01,106.2627
2017-04-01,109.0613
2017-05-01,110.4607
2017-06-01,111.9943
2017-07-01,113.9199
2017-08-01,115.6031
2017-09-01,117.9656
2017-10-01,119.4985
2017-11-01,120.8941
2017-12-01,125.0392
2018-01-01,127.0147
2018-02-01,130.2913
2018-03-01,133.5028
2018-04-01,136.938
2018-05-01,139.58
2018-06-01,145.0582
2018-07-01,149.1178
2018-08-01,155.1747
2018-09-01,165.4903
2018-10-01,173.8549
2018-11-01,178.877
2018-12-01,183.9381
2019-01-01,189.1236
2019-02-01,196.3597
2019-03-01,205.7679
2019-04-01,212.4
2019-05-01,218.8793
2019-06-01,224.6105
2019-07-01,229.4286
2019-08-01,238.3069
2019-09-01,252.1482
