indice_tiempo,pib_precios_2004
2004-03-31,460369.4422329487
2004-06-30,514395.6817723617
2004-09-30,481151.9799435081
2004-12-31,484543.6768765623
2005-03-31,493602.53057785495
2005-06-30,581668.2498796025
2005-09-30,514697.78950542817
2005-12-30,522255.2000507714
2006-03-31,532348.2120169173
2006-06-30,614076.3926085439
2006-09-29,562978.9656268766
2006-12-29,572794.0466305884
2007-03-30,576846.8856994272
2007-06-29,674620.5630064849
2007-09-28,610425.6940148536
2007-12-31,625876.8678635969
2008-03-31,616720.3570644783
2008-06-30,711405.5004552329
2008-09-30,647087.9597424942
2008-12-31,613490.821702641
2009-03-31,578553.0442424045
2009-06-30,631197.7518600689
2009-09-30,610519.8546117273
2009-12-31,615220.8549372972
2010-03-31,611607.33658973
2010-06-30,733730.7739689033
2010-09-30,668566.5094889859
2010-12-31,668190.0977195739
2011-03-31,662325.5859726951
2011-06-30,766332.9545716126
2011-09-30,711417.3919301049
2011-12-30,703050.4564079925
2012-03-30,672685.9936305042
2012-06-29,730838.2725927759
2012-09-28,703461.6525301962
2012-12-31,706958.0390823188
2013-03-29,677085.5291731509
2013-06-28,776486.60279942
2013-09-30,721458.9442161823
2013-12-31,706597.3450225069
2014-03-31,671066.0466350627
2014-06-30,760576.8683480041
2014-09-30,690879.7982516834
2014-12-31,686701.4706187105
2015-03-31,672749.8113916992
2015-06-30,791235.9655416702
2015-09-30,718281.2654497817
2015-12-31,703681.544169008
2016-03-31,677652.0891157027
2016-06-30,760703.2801516564
2016-09-30,694382.4757762305
2016-12-30,693173.5493470578
2017-03-31,681444.7661102224
2017-06-30,778401.6764493167
2017-09-29,721120.4268527941
2017-12-29,724592.9216389629
2018-03-30,707324.2680572141
2018-06-29,747428.2999545746
2018-09-28,696101.5835218076
2018-12-31,678655.6203844536
2019-03-29,665690.5906518763
2019-06-28,751765.1381113825
2019-09-30,683911.4424586
2019-12-31,670818.5936014577
2020-03-31,632469.1024540855
2020-06-30,608823.5037955184
2020-09-30,614416.2061571942
2020-12-31,642161.7149492556
2021-03-31,650821.3423992476
2021-06-30,717953.1909611787
