indice_tiempo,indice_precios_constantes
2004-01-01,100.0
2005-01-01,107.72943680540304
2006-01-01,115.19855845866093
2007-01-01,124.2806049341598
2008-01-01,127.98968362457857
2009-01-01,119.17314924077792
2010-01-01,129.88686689295724
2011-01-01,136.10673738256926
2012-01-01,133.1868606987139
2013-01-01,134.8725870585166
2014-01-01,130.0460629376413
2015-01-01,132.16537718604604
2016-01-01,128.0549494970682
2017-01-01,130.30570498346805
2018-01-01,125.6126020022048
2019-01-01,121.85127346579556
2020-01-01,108.733852613027
